ISO,Language,Dialect,Genetics,Speakers,Method,Quantity,vowel,f1,f2,f3
bvx,Dibole,Dzeke,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi,2,Wordlist,Uniform,a,750.0,1422.0,XXX
bvx,Dibole,Dzeke,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi,2,Wordlist,Uniform,ɔ,577.0,1027.0,XXX
bvx,Dibole,Dzeke,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi,2,Wordlist,Uniform,o,370.0,850.0,XXX
bvx,Dibole,Dzeke,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi,2,Wordlist,Uniform,u,313.0,818.0,XXX
cat,Catalan,Eastern,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>EastIberian,6,Isolation,Uniform,i,245.0,2273.0,3101
cat,Catalan,Eastern,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>EastIberian,6,Isolation,Uniform,e,362.0,2161.0,2755
cat,Catalan,Eastern,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>EastIberian,6,Isolation,Uniform,ɛ,543.0,2045.0,2688
cat,Catalan,Eastern,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>EastIberian,6,Isolation,Uniform,a,860.0,1344.0,2619
cat,Catalan,Eastern,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>EastIberian,6,Isolation,Uniform,ɔ,634.0,863.0,2688
cat,Catalan,Eastern,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>EastIberian,6,Isolation,Uniform,o,422.0,717.0,2701
cat,Catalan,Eastern,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>EastIberian,6,Isolation,Uniform,u,268.0,633.0,2626
chf,Chontal,Oaxaca,Mayan>CholanTzeltalan>Cholan>CholChontal,3,Wordlist,Uniform,i,434.0,2388.0,
chf,Chontal,Oaxaca,Mayan>CholanTzeltalan>Cholan>CholChontal,3,Wordlist,Uniform,e,536.0,2101.0,
chf,Chontal,Oaxaca,Mayan>CholanTzeltalan>Cholan>CholChontal,3,Wordlist,Uniform,a,777.0,1558.0,
chf,Chontal,Oaxaca,Mayan>CholanTzeltalan>Cholan>CholChontal,3,Wordlist,Uniform,o,489.0,948.0,
chf,Chontal,Oaxaca,Mayan>CholanTzeltalan>Cholan>CholChontal,3,Wordlist,Uniform,u,414.0,810.0,
chr,Cherokee,Western,Iroquonian>Southern,5,Wordlist,Long,i,308.0,2262.0,2832
chr,Cherokee,Western,Iroquonian>Southern,5,Wordlist,Long,e,439.0,2035.0,2560
chr,Cherokee,Western,Iroquonian>Southern,5,Wordlist,Long,a,657.0,1151.0,2316
chr,Cherokee,Western,Iroquonian>Southern,5,Wordlist,Long,o,475.0,897.0,2310
chr,Cherokee,Western,Iroquonian>Southern,5,Wordlist,Long,u,339.0,1404.0,2349
chr,Cherokee,Western,Iroquonian>Southern,5,Wordlist,Long,ə,526.0,1466.0,2464
chr,Cherokee,Western,Iroquonian>Southern,5,Wordlist,Short,i,321.0,2273.0,2730
chr,Cherokee,Western,Iroquonian>Southern,5,Wordlist,Short,e,438.0,2054.0,2612
chr,Cherokee,Western,Iroquonian>Southern,5,Wordlist,Short,a,634.0,1229.0,2161
chr,Cherokee,Western,Iroquonian>Southern,5,Wordlist,Short,o,425.0,941.0,2343
chr,Cherokee,Western,Iroquonian>Southern,5,Wordlist,Short,u,371.0,1808.0,2682
chr,Cherokee,Western,Iroquonian>Southern,5,Wordlist,Short,ə,527.0,1406.0,2245
chv,Chuvash,Northern,Altaic>Turkic>Oghuric,4,Wordlist,Uniform,i,330.0,1990.0,
chv,Chuvash,Northern,Altaic>Turkic>Oghuric,4,Wordlist,Uniform,ɪ,380.0,1740.0,
chv,Chuvash,Northern,Altaic>Turkic>Oghuric,4,Wordlist,Uniform,ɛ,375.0,1885.0,
chv,Chuvash,Northern,Altaic>Turkic>Oghuric,4,Wordlist,Uniform,a,675.0,1265.0,
chv,Chuvash,Northern,Altaic>Turkic>Oghuric,4,Wordlist,Uniform,o,425.0,675.0,
chv,Chuvash,Northern,Altaic>Turkic>Oghuric,4,Wordlist,Uniform,u,350.0,625.0,
chv,Chuvash,Northern,Altaic>Turkic>Oghuric,4,Wordlist,Uniform,y,345.0,1800.0,
chv,Chuvash,Northern,Altaic>Turkic>Oghuric,4,Wordlist,Uniform,ɨ,350.0,1315.0,
chv,Chuvash,Northern,Altaic>Turkic>Oghuric,4,Wordlist,Uniform,ə,500.0,1055.0,
cic,Chickasaw,,Muskogean>Western,6,Wordlist,Long,i,389.0,1984.0,2382
cic,Chickasaw,,Muskogean>Western,6,Wordlist,Long,a,676.0,1365.0,2546
cic,Chickasaw,,Muskogean>Western,6,Wordlist,Long,o,430.0,1005.0,2379
cic,Chickasaw,,Muskogean>Western,6,Wordlist,Short,i,401.0,1880.0,2418
cic,Chickasaw,,Muskogean>Western,6,Wordlist,Short,a,587.0,1500.0,2452
cic,Chickasaw,,Muskogean>Western,6,Wordlist,Short,o,460.0,1314.0,2204
cmn,Mandarin,Standard,SinoTibetan>Sinitic>Chinese,14,Isolation,Uniform,i,246.0,2145.0,
cmn,Mandarin,Standard,SinoTibetan>Sinitic>Chinese,14,Isolation,Uniform,a,804.0,1228.0,
cmn,Mandarin,Standard,SinoTibetan>Sinitic>Chinese,14,Isolation,Uniform,u,264.0,580.0,
cmn,Mandarin,Standard,SinoTibetan>Sinitic>Chinese,14,Isolation,Uniform,y,251.0,1963.0,
cmn,Mandarin,Standard,SinoTibetan>Sinitic>Chinese,14,Isolation,Uniform,ɤ,586.0,1074.0,
cng,Northern Qiang,Hongyan,SinoTibetan>TibetoBurman>Qiangic>Northern,1,Wordlist,Short,i,240.0,1930.0,2985
cng,Northern Qiang,Hongyan,SinoTibetan>TibetoBurman>Qiangic>Northern,1,Wordlist,Short,a,675.0,1695.0,2450
cng,Northern Qiang,Hongyan,SinoTibetan>TibetoBurman>Qiangic>Northern,1,Wordlist,Short,u,280.0,1235.0,2285
cng,Northern Qiang,Hongyan,SinoTibetan>TibetoBurman>Qiangic>Northern,1,Wordlist,Short,ə,470.0,1610.0,2275
cnt,Tepetotutla Chinantec,,OtoManguean>Chinantecan,2,Wordlist,Uniform,i,266.0,2103.0,2692
cnt,Tepetotutla Chinantec,,OtoManguean>Chinantecan,2,Wordlist,Uniform,e,416.0,1881.0,2497
cnt,Tepetotutla Chinantec,,OtoManguean>Chinantecan,2,Wordlist,Uniform,a,693.0,1246.0,2464
cnt,Tepetotutla Chinantec,,OtoManguean>Chinantecan,2,Wordlist,Uniform,o,458.0,874.0,2513
cnt,Tepetotutla Chinantec,,OtoManguean>Chinantecan,2,Wordlist,Uniform,u,264.0,722.0,2458
cnt,Tepetotutla Chinantec,,OtoManguean>Chinantecan,2,Wordlist,Uniform,ɨ,283.0,1328.0,2423
cnt,Tepetotutla Chinantec,,OtoManguean>Chinantecan,2,Wordlist,Uniform,ə,446.0,1425.0,2233
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Long,i,340.0,2275.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Long,e,468.0,2035.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Long,ɛ,653.0,1850.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Long,a,778.0,1360.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Long,ɔ,575.0,990.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Long,o,395.0,825.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Long,u,285.0,795.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Long,ɯ,335.0,1225.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Long,ɤ,453.0,1275.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Short,i,363.0,2155.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Short,e,455.0,1950.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Short,ɛ,655.0,1750.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Short,a,785.0,1360.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Short,ɔ,648.0,1015.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Short,o,508.0,975.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Short,u,363.0,930.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Short,ɯ,380.0,1230.0,
cog,Chong,,AustroAsiatic>NuclearMonKhmer>KhmeroVietic>KhmeroBahnaric>Khmeric>Pearic,2,Wordlist,Short,ɤ,503.0,1385.0,
cym,Welsh,,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Long,i,190.0,2200.0,
cym,Welsh,,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Long,e,300.0,2025.0,
cym,Welsh,,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Long,a,800.0,1300.0,
cym,Welsh,,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Long,o,350.0,637.0,
cym,Welsh,,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Long,u,220.0,640.0,
cym,Welsh,,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Long,ɨ,190.0,1900.0,
cym,Welsh,,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Long,ʌ,400.0,1075.0,
cym,Welsh,,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Short,i,235.0,2175.0,
cym,Welsh,,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Short,e,500.0,1925.0,
cym,Welsh,,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Short,a,760.0,1225.0,
cym,Welsh,,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Short,o,500.0,850.0,
cym,Welsh,,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Short,u,250.0,725.0,
cym,Welsh,,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Short,ɨ,225.0,1825.0,
cym,Welsh,,IndoEuropean>Celtic>Isular>Brythonic,2,Isolation,Short,ʌ,350.0,1200.0,
dan,Danish,Standard,IndoEuropean>Germanic>NorthGermanic>EastScandinavian,9,Isolation,Long,i,225.0,2197.0,3189
dan,Danish,Standard,IndoEuropean>Germanic>NorthGermanic>EastScandinavian,9,Isolation,Long,e,286.0,2186.0,2865
dan,Danish,Standard,IndoEuropean>Germanic>NorthGermanic>EastScandinavian,9,Isolation,Long,ɛ,371.0,2049.0,2635
dan,Danish,Standard,IndoEuropean>Germanic>NorthGermanic>EastScandinavian,9,Isolation,Long,a,630.0,1710.0,2490
dan,Danish,Standard,IndoEuropean>Germanic>NorthGermanic>EastScandinavian,9,Isolation,Long,ɔ,387.0,865.0,2392
dan,Danish,Standard,IndoEuropean>Germanic>NorthGermanic>EastScandinavian,9,Isolation,Long,o,323.0,623.0,2375
dan,Danish,Standard,IndoEuropean>Germanic>NorthGermanic>EastScandinavian,9,Isolation,Long,u,257.0,732.0,2117
dan,Danish,Standard,IndoEuropean>Germanic>NorthGermanic>EastScandinavian,9,Isolation,Long,y,235.0,1919.0,2235
dan,Danish,Standard,IndoEuropean>Germanic>NorthGermanic>EastScandinavian,9,Isolation,Long,ø,289.0,1671.0,2107
dan,Danish,Standard,IndoEuropean>Germanic>NorthGermanic>EastScandinavian,9,Isolation,Long,œ,402.0,1462.0,2202
ddo,Tsez,Asax,Tsezic>WestTsezic,1,Wordlist,Uniform,i,320.0,2183.0,3065
ddo,Tsez,Asax,Tsezic>WestTsezic,1,Wordlist,Uniform,e,636.0,1701.0,2741
ddo,Tsez,Asax,Tsezic>WestTsezic,1,Wordlist,Uniform,a,766.0,1308.0,2730
ddo,Tsez,Asax,Tsezic>WestTsezic,1,Wordlist,Uniform,o,533.0,1021.0,2397
ddo,Tsez,Asax,Tsezic>WestTsezic,1,Wordlist,Uniform,u,348.0,937.0,
deg,Degema,,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Edoid,6,Wordlist,Uniform,i,384.0,2164.0,
deg,Degema,,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Edoid,6,Wordlist,Uniform,ɪ,433.0,2130.0,
deg,Degema,,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Edoid,6,Wordlist,Uniform,e,446.0,1989.0,
deg,Degema,,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Edoid,6,Wordlist,Uniform,ɛ,577.0,1879.0,
deg,Degema,,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Edoid,6,Wordlist,Uniform,a,807.0,1461.0,
deg,Degema,,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Edoid,6,Wordlist,Uniform,ɔ,608.0,1081.0,
deg,Degema,,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Edoid,6,Wordlist,Uniform,o,460.0,997.0,
deg,Degema,,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Edoid,6,Wordlist,Uniform,ʊ,484.0,925.0,
deg,Degema,,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Edoid,6,Wordlist,Uniform,u,377.0,912.0,
deg,Degema,,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Edoid,6,Wordlist,Uniform,ə,755.0,1431.0,
deu,German,Standard,IndoEuropean>Germanic>WestGermanic>HighGerman,69,Wordlist,Long,i,263.0,2171.0,
deu,German,Standard,IndoEuropean>Germanic>WestGermanic>HighGerman,69,Wordlist,Long,e,348.0,2126.0,
deu,German,Standard,IndoEuropean>Germanic>WestGermanic>HighGerman,69,Wordlist,Long,ɛ,482.0,1902.0,
deu,German,Standard,IndoEuropean>Germanic>WestGermanic>HighGerman,69,Wordlist,Long,a,737.0,1275.0,
deu,German,Standard,IndoEuropean>Germanic>WestGermanic>HighGerman,69,Wordlist,Long,o,383.0,841.0,
deu,German,Standard,IndoEuropean>Germanic>WestGermanic>HighGerman,69,Wordlist,Long,u,310.0,854.0,
deu,German,Standard,IndoEuropean>Germanic>WestGermanic>HighGerman,69,Wordlist,Long,y,302.0,1722.0,
deu,German,Standard,IndoEuropean>Germanic>WestGermanic>HighGerman,69,Wordlist,Long,ø,371.0,1501.0,
dgo,Dogri,,IndoEuropean>IndoIranian>IndoAryan>Northern,3,Wordlist,Long,i,287.0,2203.0,2904
dgo,Dogri,,IndoEuropean>IndoIranian>IndoAryan>Northern,3,Wordlist,Long,e,355.0,2125.0,2732
dgo,Dogri,,IndoEuropean>IndoIranian>IndoAryan>Northern,3,Wordlist,Long,ɛ,629.0,1607.0,2603
dgo,Dogri,,IndoEuropean>IndoIranian>IndoAryan>Northern,3,Wordlist,Long,a,687.0,1131.0,2599
dgo,Dogri,,IndoEuropean>IndoIranian>IndoAryan>Northern,3,Wordlist,Long,ɔ,539.0,951.0,
dgo,Dogri,,IndoEuropean>IndoIranian>IndoAryan>Northern,3,Wordlist,Long,o,365.0,692.0,
dgo,Dogri,,IndoEuropean>IndoIranian>IndoAryan>Northern,3,Wordlist,Long,u,313.0,660.0,
dgo,Dogri,,IndoEuropean>IndoIranian>IndoAryan>Northern,3,Wordlist,Short,ɪ,384.0,2007.0,2547
dgo,Dogri,,IndoEuropean>IndoIranian>IndoAryan>Northern,3,Wordlist,Short,ə,640.0,1164.0,2658
dgo,Dogri,,IndoEuropean>IndoIranian>IndoAryan>Northern,3,Wordlist,Short,ʊ,364.0,765.0,
dib,Southern Dinka,,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,2,Wordlist,Short,i,198.0,1853.0,
dib,Southern Dinka,,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,2,Wordlist,Short,e,335.0,1668.0,
dib,Southern Dinka,,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,2,Wordlist,Short,ɛ,388.0,1448.0,
dib,Southern Dinka,,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,2,Wordlist,Short,a,520.0,1103.0,
dib,Southern Dinka,,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,2,Wordlist,Short,ɔ,388.0,755.0,
dib,Southern Dinka,,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,2,Wordlist,Short,o,255.0,648.0,
dib,Southern Dinka,,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,2,Wordlist,Short,u,220.0,635.0,
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Long,i,325.0,2158.0,
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Long,e,447.0,1932.0,
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Long,ɛ,666.0,1755.0,
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Long,a,777.0,1420.0,
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Long,ɔ,648.0,1184.0,
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Long,o,448.0,913.0,
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Long,u,346.0,987.0,
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Short,i,385.0,1840.0,
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Short,e,479.0,1665.0,
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Short,a,675.0,1446.0,
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Short,ɔ,648.0,1209.0,
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Short,o,490.0,1098.0,
dik,Southwestern Dinka,Luanyjang,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,7,Meaningful sentence,Short,u,363.0,1163.0,
dks,Eastern Dinka,,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,1,Wordlist,Short,i,200.0,1850.0,
dks,Eastern Dinka,,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,1,Wordlist,Short,e,340.0,1700.0,
dks,Eastern Dinka,,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,1,Wordlist,Short,ɛ,385.0,1450.0,
dks,Eastern Dinka,,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,1,Wordlist,Short,a,530.0,1130.0,
dks,Eastern Dinka,,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,1,Wordlist,Short,ɔ,400.0,775.0,
dks,Eastern Dinka,,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,1,Wordlist,Short,o,260.0,650.0,
dks,Eastern Dinka,,NiloSaharan>EasternSudanic>Nilotic>Western>DinkaNuer,1,Wordlist,Short,u,230.0,645.0,
drd,Darma,,SinoTibetan>TibetoBurman>Himalayish>TibetoKanauri>WesternHimalayish>Almora,1,Wordlist,Uniform,,350.0,2170.0,
drd,Darma,,SinoTibetan>TibetoBurman>Himalayish>TibetoKanauri>WesternHimalayish>Almora,1,Wordlist,Uniform,,430.0,1990.0,
drd,Darma,,SinoTibetan>TibetoBurman>Himalayish>TibetoKanauri>WesternHimalayish>Almora,1,Wordlist,Uniform,,550.0,1775.0,
drd,Darma,,SinoTibetan>TibetoBurman>Himalayish>TibetoKanauri>WesternHimalayish>Almora,1,Wordlist,Uniform,,670.0,1370.0,
drd,Darma,,SinoTibetan>TibetoBurman>Himalayish>TibetoKanauri>WesternHimalayish>Almora,1,Wordlist,Uniform,,555.0,1045.0,
drd,Darma,,SinoTibetan>TibetoBurman>Himalayish>TibetoKanauri>WesternHimalayish>Almora,1,Wordlist,Uniform,,405.0,1095.0,
dru,Rukai,Budai,Austronesian>Rukai,2,Wordlist,Uniform,i,420.0,2125.0,
dru,Rukai,Budai,Austronesian>Rukai,2,Wordlist,Uniform,a,805.0,1395.0,
dru,Rukai,Budai,Austronesian>Rukai,2,Wordlist,Uniform,u,520.0,970.0,
dru,Rukai,Budai,Austronesian>Rukai,2,Wordlist,Uniform,ə,550.0,1545.0,
duf,Ndumbea,Naniouni,Austronesian>MalayoPolynesian>Oceanic>Southern>NewCaledonianLoyalties>NewCaledonian>Southern,1,Wordlist,Short,i,307.0,2232.0,2637
duf,Ndumbea,Naniouni,Austronesian>MalayoPolynesian>Oceanic>Southern>NewCaledonianLoyalties>NewCaledonian>Southern,1,Wordlist,Short,e,361.0,2026.0,2520
duf,Ndumbea,Naniouni,Austronesian>MalayoPolynesian>Oceanic>Southern>NewCaledonianLoyalties>NewCaledonian>Southern,1,Wordlist,Short,ɛ,414.0,1938.0,2415
duf,Ndumbea,Naniouni,Austronesian>MalayoPolynesian>Oceanic>Southern>NewCaledonianLoyalties>NewCaledonian>Southern,1,Wordlist,Short,a,678.0,1351.0,2411
duf,Ndumbea,Naniouni,Austronesian>MalayoPolynesian>Oceanic>Southern>NewCaledonianLoyalties>NewCaledonian>Southern,1,Wordlist,Short,o,474.0,838.0,
duf,Ndumbea,Naniouni,Austronesian>MalayoPolynesian>Oceanic>Southern>NewCaledonianLoyalties>NewCaledonian>Southern,1,Wordlist,Short,ʊ,352.0,603.0,
duf,Ndumbea,Naniouni,Austronesian>MalayoPolynesian>Oceanic>Southern>NewCaledonianLoyalties>NewCaledonian>Southern,1,Wordlist,Short,u,311.0,623.0,
egl,Emilian,,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloItalic,2,Wordlist,Long,i,341.0,2481.0,
egl,Emilian,,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloItalic,2,Wordlist,Long,e,420.0,2422.0,
egl,Emilian,,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloItalic,2,Wordlist,Long,ɛ,577.0,2187.0,
egl,Emilian,,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloItalic,2,Wordlist,Long,a,899.0,1373.0,
egl,Emilian,,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloItalic,2,Wordlist,Long,ɔ,696.0,1030.0,
egl,Emilian,,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloItalic,2,Wordlist,Long,o,496.0,994.0,
egl,Emilian,,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloItalic,2,Wordlist,Long,u,363.0,918.0,
egl,Emilian,,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloItalic,2,Wordlist,Long,y,348.0,1761.0,
egl,Emilian,,IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloItalic,2,Wordlist,Long,ø,448.0,1524.0,
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Long,i,290.0,2279.0,3013
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Long,e,430.0,1977.0,2685
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Long,æ,642.0,1626.0,2428
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Long,ɑ,654.0,1135.0,2343
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Long,o,423.0,909.0,2283
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Long,u,306.0,833.0,2316
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Long,ø,454.0,1497.0,2341
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Short,i,304.0,2123.0,2815
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Short,e,534.0,1810.0,2603
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Short,æ,634.0,1630.0,2407
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Short,ɑ,642.0,1187.0,2354
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Short,o,469.0,986.0,2207
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Short,u,341.0,915.0,2248
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Short,y,302.0,1829.0,2453
ekk,Estonian,Eastern Saaremaa,Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic,8,Wordlist,Short,ø,467.0,1493.0,2288
ell,Greek,,IndoEuropean>Hellenic,4,Carrier sentence,Uniform,i,310.0,1909.0,2419
